ID,Category,Type,Difficulty,Question / Statement,Created By,번역,한국인_적합도,분류_이유,출제_추천
17530,History,Multiple Choice,Medium,The 15th century conflicts between the Houses of York and Lancaster are known as the Wars of the what?,Druss,15세기 요크 가문과 ​​랭커스터 가문 사이의 갈등은 무엇의 전쟁으로 알려져 있습니까?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
17001,History,True / False,Medium,Brazil used to be an empire.,Soothsayer98,브라질은 한때 제국이었습니다.,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
16997,History,Multiple Choice,Easy,What is widely considered to be the oldest civilization known to mankind?,Soothsayer98,인류가 알고 있는 가장 오래된 문명으로 널리 알려진 것은 무엇인가요?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
16341,Science: Gadgets,Multiple Choice,Medium,"Apple's Voice Assistant, Siri, debuted on which iPhone?",MRMAXTHEMAC,Apple의 음성 어시스턴트인 Siri가 어떤 iPhone에 처음 등장했나요?,일반,한국에서도 널리 쓰이는 전자기기에 관한 대중적 상식입니다.,추천
16324,Entertainment: Video Games,True / False,Easy,"In the Super Mario series, the character Pauline is a Princess like Princess Peach.",PrimeExplorer,슈퍼마리오 시리즈에서 폴린이라는 캐릭터는 피치공주와 같은 공주이다.,전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
16323,Entertainment: Film,Multiple Choice,Easy,"In the Super Mario Bros. Movie (2023), who plays Toad?",PrimeExplorer,슈퍼 마리오 브라더스 영화(2023)에서 누가 두꺼비를 연기하나요?,전문/마니아,특정 영화·방송 작품의 인물이나 세부 내용을 알아야 풀 수 있습니다.,조건부
15697,Entertainment: Film,Multiple Choice,Easy,"In the 1951 movie ""The Day The Earth Stood Still"" which US city did the alien spaceship land in?",malobx,1951년 영화 '지구가 멈추는 날'에서 외계 우주선이 착륙한 미국 도시는 어디인가요?,전문/마니아,특정 영화·방송 작품의 인물이나 세부 내용을 알아야 풀 수 있습니다.,조건부
15558,History,Multiple Choice,Hard,The assassination of which royal led to the start of World War I?,GaleS,어느 왕의 암살로 인해 제1차 세계 대전이 시작되었습니까?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,조건부
15454,History,Multiple Choice,Easy,Who succeded Josef Stalin as the leader of the Soviet Union?,Ksheik,스탈린의 뒤를 이어 소련의 지도자가 된 사람은 누구인가요?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
15435,History,True / False,Hard,The Emus won the Great Emu War of 1932.,kitani,에뮤는 1932년 에뮤 대전에서 승리했습니다.,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,조건부
14537,History,Multiple Choice,Hard,Which Irish village in County Mayo built a tourism industry on the back of an alleged appearance by the Virgin Mary in 1879?,Druss,마요 카운티의 어느 아일랜드 마을에서 1879년에 성모 마리아의 출현으로 추정되는 관광 산업을 발전시켰습니까?,해외특화,특정 외국의 지방 행정구역에 관한 현지 중심 지식입니다.,비추천
14517,History,Multiple Choice,Medium,Hong Kong was a part of which country's territory before Britain regained it in 1945?,Druss,1945년 영국이 홍콩을 되찾기 전에 홍콩은 어느 국가 영토의 일부였습니까?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
14470,Entertainment: Music,Multiple Choice,Medium,"Which chain restaurant increased sales after it was mentioned in the 2016 Beyoncé song: ""Formation""?",sackboyfan1999,"2016년 비욘세의 노래 ""Formation""에 언급된 후 매출이 증가한 체인 레스토랑은 어디인가요?",전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
14389,Entertainment: Music,Multiple Choice,Easy,Which one of the following musical instruments is NOT a part of the Woodwind section?,sackboyfan1999,다음 악기 중 목관악기 부문에 속하지 않는 것은 무엇인가요?,일반,음악 교육이나 대중문화에서 접할 수 있는 기초 음악 상식입니다.,추천
14353,Entertainment: Music,Multiple Choice,Easy,"In what year was Avril Lavigne’s first studio album, “Let Go”, released?",moeperson225,에이브릴 라빈의 첫 정규 앨범 'Let Go'는 몇 년도에 발매됐나요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
14329,Entertainment: Music,Multiple Choice,Easy,"""Sleepyhead"" is the debut single from which Electronic band?",sackboyfan1999,"""Sleepyhead""는 어느 일렉트로닉 밴드의 데뷔 싱글인가요?",전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
14242,Entertainment: Music,Multiple Choice,Medium,Which of the Beatles band members is barefoot on the front cover of the 'Abbey Road' album?,Druss,'Abbey Road' 앨범 표지에 맨발로 등장한 비틀즈 밴드 멤버는 누구일까요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
14202,Entertainment: Music,True / False,Easy,"""Friday,"" the single by Rebecca Black, was released in February 10th, 2011.",sackboyfan1999,"레베카 블랙의 싱글 ""Friday""는 2011년 2월 10일에 발매되었습니다.",전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
14133,Science: Gadgets,True / False,Medium,"iRobot's revolutionary floor-cleaning vacuum, the Roomba, was first invented in 2002",Yoshidude47,아이로봇의 혁신적인 바닥 청소용 진공청소기 룸바(Roomba)는 2002년에 처음 발명되었습니다.,전문/마니아,특정 기기 모델이나 기술 이력을 알아야 풀 수 있습니다.,조건부
14078,History,Multiple Choice,Easy,What was the official German currency until 2002?,mayne,2002년까지 독일 공식 통화는 무엇인가요?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
14025,Entertainment: Video Games,Multiple Choice,Medium,Marvel vs Capcom 2: New age of Heroes was released in what year?,DarkMage69,Marvel vs Capcom 2: New age of Heroes는 몇 년도에 출시되었습니까?,전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
13881,Science: Gadgets,Multiple Choice,Medium,How does a centrifuge separate heavy and light particles?,Druss,원심분리기는 무거운 입자와 가벼운 입자를 어떻게 분리합니까?,전문/마니아,특정 기기 모델이나 기술 이력을 알아야 풀 수 있습니다.,조건부
13856,Entertainment: Music,Multiple Choice,Medium,Which musical instrument is nicknamed 'the clown of the orchestra'?,Druss,'오케스트라의 광대'라는 별명이 붙은 악기는 무엇인가요?,일반,음악 교육이나 대중문화에서 접할 수 있는 기초 음악 상식입니다.,추천
13766,Entertainment: Music,Multiple Choice,Medium,"'I'm never gonna dance again, guilty feet have got no rhythm' were lyrics from which Wham! hit single?",Druss,"'다시는 춤추지 않을 거야, 죄책감에 찬 두 발엔 리듬이 없으니'라는 가사가 나오는 Wham!의 히트 싱글은 무엇인가요?",전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13760,History,Multiple Choice,Medium,The gunpowder plot was a well-known failed assassination attempt against which of England's then reigning monarchs?,Druss,화약 음모는 당시 영국의 군주 중 누구에 대한 암살 시도로 잘 알려져 있었습니까?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
13610,History,True / False,Medium,Canada was ceded to Britain under the terms of the 1763 Treaty of Paris.,Druss,캐나다는 1763년 파리 조약에 따라 영국에 할양되었습니다.,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
13606,Entertainment: Music,Multiple Choice,Medium,Band Aid's 'Do They Know It's Christmas' was recorded to raise awareness of which issue in Ethiopia?,Druss,Band Aid의 'Do They Know It's Christmas'는 에티오피아의 어떤 문제에 대한 인식을 높이기 위해 녹음되었습니다?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13576,History,Multiple Choice,Easy,Which South American country fought Great Britain over the Falkland Islands in 1982?,Druss,1982년 포클랜드 제도를 놓고 영국과 싸운 남미 국가는 어디인가요?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
13568,History,Multiple Choice,Hard,Who was the British Prime Minister at the outbreak of the Second World War in 1939?,PapiTopCat,1939년 제2차 세계대전이 발발했을 때 영국 총리는 누구인가요?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,조건부
13534,Entertainment: Music,True / False,Easy,The K-Pop Boy Band BTS debuted in the year 2013.,AndyHollows,K팝 보이그룹 방탄소년단은 2013년 데뷔했다.,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13512,Entertainment: Music,Multiple Choice,Medium,'We Built This City' was a number one hit for which American rock band in 1985?,Druss,'We Build This City'는 1985년 어느 미국 록 밴드의 1위 히트곡이었습니까?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13485,Entertainment: Music,Multiple Choice,Medium,Who performed the hit single 'Call Me' for the 1980 film 'American Gigolo'?,Druss,1980년 영화 'American Gigolo'의 히트 싱글 'Call Me'를 연주한 사람은 누구인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13484,Entertainment: Music,Multiple Choice,Hard,Which Manchester nightclub was considered central to the 'Madchester' music scene in the late 80's?,Druss,80년대 후반 '매드체스터' 음악계의 중심으로 여겨졌던 맨체스터 나이트클럽은 어디인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,비추천
13480,Entertainment: Music,Multiple Choice,Easy,'The Safety Dance' was the biggest hit single for which Canadian act?,Druss,'The Safety Dance'는 어느 캐나다 배우의 가장 큰 히트 싱글이었습니까?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13474,Entertainment: Music,Multiple Choice,Medium,What was the first music video to be broadcast on MTV?,Druss,MTV에서 최초로 방송된 뮤직비디오는 무엇인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13328,Entertainment: Music,Multiple Choice,Medium,Who sang backup vocals on Rockwell's hit 1984 single 'Somebody's Watching Me'?,Druss,Rockwell의 1984년 히트 싱글 'Somebody's Watching Me'에서 백업 보컬을 부른 사람은 누구인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13304,Entertainment: Music,Multiple Choice,Easy,Of which 90s boy band was Justin Timberlake a member?,Druss,저스틴 팀버레이크가 멤버였던 90년대 보이 밴드는 누구인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13300,Entertainment: Music,Multiple Choice,Medium,For which civil rights activist did Stevie Wonder write the song 'Happy Birthday' in 1980?,Druss,Stevie Wonder는 1980년에 누구의 민권 운동가를 위해 'Happy Birthday'라는 노래를 작곡했습니까?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13297,Entertainment: Music,Multiple Choice,Medium,"Prior to going solo in 1982, Lionel Richie was a member of which Motown group?",Druss,1982년 솔로 활동을 시작하기 전 Lionel Richie는 다음 중 Motown 그룹의 멤버였습니다?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13273,Entertainment: Music,Multiple Choice,Medium,"Which band, with Boy George on lead vocals, won the Brit Awards in 1984?",Druss,보이 조지(Boy George)가 리드 보컬을 맡은 밴드가 1984년에 브릿 어워드(Brit Awards)를 수상한 밴드는 어느 것입니까?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13272,Entertainment: Music,Multiple Choice,Hard,Which British band won the first edition of the Brit Awards in 1977?,Druss,1977년 제1회 브릿 어워드(Brit Awards)에서 우승한 영국 밴드는 누구인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,비추천
13271,Entertainment: Music,Multiple Choice,Medium,"Which musical group won the Brit Awards in 1985, with George Michael as a member?",Druss,조지 마이클(George Michael)이 멤버로 1985년 브릿 어워드(Brit Awards)를 수상한 음악 그룹은 누구인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13250,Entertainment: Music,Multiple Choice,Medium,What was George Michael's chart-topping 1987 debut studio album?,Druss,조지 마이클의 1987년 데뷔 스튜디오 앨범은 차트 1위를 차지했습니다?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13243,Entertainment: Music,Multiple Choice,Medium,Who sung the opening theme song to the 1995 James Bond film 'Goldeneye'?,Druss,1995년 제임스 본드 영화 '골든아이'의 오프닝 주제가를 부른 사람은 누구인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13242,Entertainment: Music,Multiple Choice,Medium,What are the first few words in the lyrics of A-Ha's 'Take On Me'?,Druss,아하 'Take On Me' 가사의 처음 몇 단어는 무엇인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13235,Entertainment: Music,Multiple Choice,Medium,'Don't You Want Me?' was a number one hit in 1981 for which electropop band?,Druss,'나를 원하지 않나요?' 1981년에 1위를 차지했던 일렉트로팝 밴드는 누구일까요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13203,Entertainment: Music,Multiple Choice,Medium,"In The Bangles' 'Manic Monday', what time is it already?",Druss,"뱅글스의 '매닉 먼데이', 벌써 몇 시야?",전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13135,History,Multiple Choice,Hard,Which Australian Prime Minister disappeared in 1967 and was never found?,Cobalt27,1967년에 실종되어 발견되지 않은 호주 총리는 누구인가요?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,조건부
13046,Entertainment: Music,Multiple Choice,Medium,Which artist released his third and final studio album 'Electric Ladyland' before his death in 1970?,Druss,1970년 사망하기 전에 세 번째이자 마지막 정규 앨범 'Electric Ladyland'를 발매한 아티스트는 누구인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
13016,Entertainment: Music,Multiple Choice,Easy,"What is the name of Metallica's debut album, released in 1983?",LunaSkadi,1983년에 발매된 메탈리카의 데뷔 앨범 이름은 무엇인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
12934,Entertainment: Music,Multiple Choice,Hard,What is Justin Bieber's debut Album?,sackboyfan1999,저스틴 비버의 데뷔 앨범은 무엇인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,비추천
12804,Entertainment: Music,Multiple Choice,Medium,La Fenice opera house is in which Italian city?,Druss,라 페니체 오페라 하우스가 있는 이탈리아 도시는 어디일까요?,일반,음악 교육이나 대중문화에서 접할 수 있는 기초 음악 상식입니다.,추천
12803,Entertainment: Music,Multiple Choice,Medium,"In Prokofiev's 'Peter and the Wolf', the wolf itself is represented by a trio of which musical instrument?",Druss,프로코피예프의 '피터와 늑대'에서 늑대 자체는 어떤 악기의 트리오로 표현됩니까?,일반,음악 교육이나 대중문화에서 접할 수 있는 기초 음악 상식입니다.,추천
12802,Entertainment: Music,Multiple Choice,Medium,"With his distinctive red hair, which Italian composer, born in 1678, was known as the 'Red Priest'?",Druss,독특한 붉은 머리로 '붉은 사제'로 알려진 1678년생 이탈리아 작곡가는 누구일까요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
12772,Entertainment: Music,Multiple Choice,Medium,Which British female singer and songwriter was sampled Eminem's hit single 'Stan'?,Druss,에미넴의 히트 싱글 'Stan'을 샘플링한 영국 여성 싱어송라이터는 누구인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
12698,Entertainment: Music,Multiple Choice,Easy,Ozzy Osbourne was the lead singer for what metal band?,Druss,오지 오스본은 어느 메탈 밴드의 리드 싱어였나요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
12535,Science: Gadgets,Multiple Choice,Easy,What is the SI unit for resistance?,MattPupc,저항의 SI 단위는 무엇인가요?,일반,한국에서도 널리 쓰이는 전자기기에 관한 대중적 상식입니다.,추천
12501,Art,Multiple Choice,Medium,"Who painted the painting ""Nighthawks""?",sackboyfan1999,"""Nighthawks""라는 그림을 그린 사람은 누구인가요?",일반,학교 교육이나 대중매체에서 접할 수 있는 미술 상식입니다.,추천
12370,Art,Multiple Choice,Hard,"When was Salvador Dali's painting, ""The Persistence of Memory,"" completed?",sackboyfan1999,살바도르 달리의 그림 '기억의 지속'은 언제 완성됐나요?,전문/마니아,특정 미술 작품·작가에 관한 전문적인 배경지식이 필요합니다.,비추천
12286,Art,Multiple Choice,Medium,Which of these paintings did Johannes Vermeer not paint?,sackboyfan1999,다음 중 요하네스 베르메르가 그리지 않은 그림은 무엇인가요?,일반,학교 교육이나 대중매체에서 접할 수 있는 미술 상식입니다.,조건부
12154,Entertainment: Music,Multiple Choice,Medium,Who is the bassist of the British rock band Queen?,thatguygoob,영국 록밴드 퀸의 베이시스트는 누구인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
12114,History,Multiple Choice,Easy,Which of these landmarks is not included in the original 'Seven Wonders of the Ancient World'?,halokiller,다음 중 원래 '고대 세계 7대 불가사의'에 포함되지 않은 랜드마크는 무엇인가요?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,조건부
12074,History,Multiple Choice,Easy,"According to legend, the ancient Greeks constructed a huge wooden model of which animal to gain entrance to Troy?",Druss,"전설에 따르면, 고대 그리스인들은 어떤 동물의 거대한 나무 모형을 만들어 트로이로 들어갈 수 있었습니까?",일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
12073,History,Multiple Choice,Hard,The term Luddite originally applied to disgruntled workers in which industry?,Druss,Luddite라는 용어는 원래 어느 업계에서 불만을 품은 근로자에게 적용되었습니까?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,조건부
12025,History,Multiple Choice,Hard,The first Legoland park was opened in 1968 in which of these cities?,JosephStardust,다음 중 최초의 레고랜드 공원이 1968년에 문을 연 도시는 어디일까요?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,조건부
12015,Entertainment: Music,Multiple Choice,Hard,Which of these is Daft Punk's debut single?,pretty1k,다음 중 Daft Punk의 데뷔 싱글은 무엇인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,비추천
11763,Science: Gadgets,Multiple Choice,Medium,When was the compact disc player first released?,sackboyfan1999,컴팩트 디스크 플레이어는 언제 처음 출시되었나요?,일반,한국에서도 널리 쓰이는 전자기기에 관한 대중적 상식입니다.,추천
11546,Science: Mathematics,Multiple Choice,Easy,How many square faces does a cube have?,Chester1994,정육면체에는 몇 개의 정사각형 면이 있습니까?,일반,한국의 학교 수학이나 기초 수학 상식으로 접할 수 있습니다.,추천
11405,Entertainment: Music,Multiple Choice,Medium,"When was the Prince album ""Purple Rain"" released?",sackboyfan1999,프린스 앨범 'Purple Rain'은 언제 발매됐나요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
11369,Entertainment: Music,True / False,Easy,"To become a ""one-hit wonder"" artist needs to release only one song per year.",Kuyosakee,'원 히트 원더' 아티스트가 되려면 1년에 한 곡만 발표하면 된다.,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
11317,Art,Multiple Choice,Medium,Which one of these colors are not featured in Mondrian's Broadway Boogie-Woogie?,Moustiluigi,다음 중 몬드리안의 브로드웨이 부기우기에 등장하지 않는 색상은 무엇인가요?,일반,학교 교육이나 대중매체에서 접할 수 있는 미술 상식입니다.,추천
11306,History,Multiple Choice,Hard,The Arab Spring was a series of protests and rebellions that began in which of these Arab nations?,shnogg,아랍의 봄은 다음 중 어느 아랍 국가에서 시작된 일련의 항의와 반란이었습니까?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,조건부
11261,History,Multiple Choice,Medium,"Which of the following years is commonly referred to as the ""Year Without a Summer""?",obscurities,"다음 중 일반적으로 ""여름이 없는 해""라고 불리는 해는 어느 해입니까?",일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,조건부
11235,General Knowledge,Multiple Choice,Easy,Which of these Marvel games was released on the Playstation 2?,MMorange,다음 중 PlayStation 2로 출시된 Marvel 게임은 무엇인가요?,전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
11221,History,Multiple Choice,Hard,What year was the first Pizza Hut restaurant opened?,ETupgrade,최초의 피자헛 레스토랑이 문을 연 해는 몇 년입니까?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,조건부
